logisticsid,po_id,carrier,shipmentmode,freightcost,expecteddelivery,actualdelivery,shipmentstatus,origincountry,destinationstore
LOG-000978,PO-000978,J.B. Hunt,Truck,2.11,2026-07-13,2026-07-11,Delivered,USA,Boston Flagship
LOG-000979,PO-000979,UPS Supply Chain,Truck,1.15,2026-09-27,2026-09-27,Delivered,USA,Boston Flagship
LOG-000980,PO-000980,J.B. Hunt,Sea,2.36,2026-12-11,2026-12-11,Delivered,USA,Boston Flagship
LOG-000981,PO-000981,UPS Supply Chain,Truck,1.14,2024-12-08,2024-12-19,Delivered,Canada,Boston Flagship
LOG-000982,PO-000982,J.B. Hunt,Truck,0.73,2025-01-09,2025-01-17,Delivered,Canada,Boston Flagship
LOG-000983,PO-000983,UPS Supply Chain,Truck,1.3,2025-02-04,2025-02-08,Delivered,Canada,Boston Flagship
LOG-000984,PO-000984,Echo Global,Rail,1.5,2025-03-12,2025-03-19,Delivered,Canada,Boston Flagship
LOG-000985,PO-000985,J.B. Hunt,Air,1.85,2025-04-11,2025-04-11,Delivered,Canada,Boston Flagship
LOG-000986,PO-000986,UPS Supply Chain,Rail,1.68,2025-07-17,2025-07-17,Delivered,Canada,Boston Flagship
LOG-000987,PO-000987,Ryder,Air,0.83,2025-09-21,2025-09-21,Delivered,Canada,Boston Flagship
LOG-000988,PO-000988,J.B. Hunt,Truck,0.83,2025-10-03,2025-10-03,Delivered,Canada,Boston Flagship
LOG-000989,PO-000989,Echo Global,Truck,1.23,2025-11-05,2025-11-05,Delivered,Canada,Boston Flagship
LOG-000990,PO-000990,J.B. Hunt,Air,1.72,2025-11-21,2025-12-01,Delivered,Canada,Boston Flagship
LOG-000991,PO-000991,J.B. Hunt,Air,1.06,2026-01-01,2026-01-01,Delivered,Canada,Boston Flagship
LOG-000992,PO-000992,Echo Global,Truck,1.87,2026-01-21,2026-01-21,Delivered,Canada,Boston Flagship
LOG-000993,PO-000993,FedEx Freight,Air,1.26,2026-03-12,2026-03-12,Delivered,Canada,Boston Flagship
LOG-000994,PO-000994,J.B. Hunt,Air,1.02,2026-05-29,2026-06-01,Delivered,Canada,Boston Flagship
LOG-000995,PO-000995,J.B. Hunt,Rail,1.4,2026-06-20,2026-06-20,Delivered,Canada,Boston Flagship
LOG-000996,PO-000996,J.B. Hunt,Truck,1.69,2026-08-31,2026-08-31,Delivered,Canada,Boston Flagship
LOG-000997,PO-000997,Ryder,Truck,1.38,2026-09-18,2026-09-18,Delivered,Canada,Boston Flagship
LOG-000998,PO-000998,FedEx Freight,Air,1.51,2026-10-25,2026-10-25,Delivered,Canada,Boston Flagship
LOG-000999,PO-000999,FedEx Freight,Truck,1.33,2026-12-11,2026-12-15,Delivered,Canada,Boston Flagship
LOG-001000,PO-001000,J.B. Hunt,Rail,1.67,2026-12-28,2026-12-28,Delivered,Canada,Boston Flagship
LOG-001001,PO-001001,Echo Global,Truck,1.47,2026-12-31,2026-12-31,Delivered,Canada,Boston Flagship
LOG-001002,PO-001002,UPS Supply Chain,Truck,4.25,2025-04-22,2025-04-22,Delivered,USA,Boston Flagship
LOG-001003,PO-001003,XPO Logistics,Truck,3.85,2025-05-10,2025-05-10,Delivered,USA,Boston Flagship
LOG-001004,PO-001004,XPO Logistics,Truck,4.0,2025-05-26,2025-05-26,Delivered,USA,Boston Flagship
LOG-001005,PO-001005,XPO Logistics,Air,2.48,2025-06-15,2025-06-15,Delivered,USA,Boston Flagship
LOG-001006,PO-001006,Ryder,Air,2.56,2025-08-09,2025-08-09,Delivered,USA,Boston Flagship
LOG-001007,PO-001007,J.B. Hunt,Truck,2.35,2025-10-04,2025-10-04,Delivered,USA,Boston Flagship
LOG-001008,PO-001008,FedEx Freight,Truck,4.37,2025-11-22,2025-11-22,Delivered,USA,Boston Flagship
LOG-001009,PO-001009,Echo Global,Truck,3.58,2025-12-29,2025-12-29,Delivered,USA,Boston Flagship
LOG-001010,PO-001010,UPS Supply Chain,Truck,4.29,2026-01-28,2026-01-28,Delivered,USA,Boston Flagship
LOG-001011,PO-001011,XPO Logistics,Truck,3.7,2026-03-20,2026-03-20,Delivered,USA,Boston Flagship
LOG-001012,PO-001012,Echo Global,Truck,1.8,2026-05-12,2026-05-12,Delivered,USA,Boston Flagship
LOG-001013,PO-001013,UPS Supply Chain,Air,5.05,2026-06-05,2026-06-05,Delivered,USA,Boston Flagship
LOG-001014,PO-001014,FedEx Freight,Rail,2.47,2026-07-09,2026-07-09,Delivered,USA,Boston Flagship
LOG-001015,PO-001015,XPO Logistics,Truck,2.25,2026-09-07,2026-09-07,Delivered,USA,Boston Flagship
LOG-001016,PO-001016,FedEx Freight,Sea,3.8,2026-09-19,2026-09-19,Delivered,USA,Boston Flagship
LOG-001017,PO-001017,Echo Global,Sea,4.55,2026-11-12,2026-11-12,Delivered,USA,Boston Flagship
LOG-001018,PO-001018,Echo Global,Truck,3.86,2026-12-22,2026-12-22,Delivered,USA,Boston Flagship
LOG-001019,PO-001019,Ryder,Truck,2.39,2024-12-09,2024-12-17,Delivered,Mexico,Boston Flagship
LOG-001020,PO-001020,J.B. Hunt,Truck,4.36,2025-04-29,2025-04-29,Delivered,Mexico,Boston Flagship
LOG-001021,PO-001021,FedEx Freight,Truck,2.96,2025-11-25,2025-11-25,Delivered,Mexico,Boston Flagship
LOG-001022,PO-001022,XPO Logistics,Truck,2.93,2025-12-29,2026-01-02,Delivered,Mexico,Boston Flagship
LOG-001023,PO-001023,UPS Supply Chain,Rail,6.06,2026-03-06,2026-03-16,Delivered,Mexico,Boston Flagship
LOG-001024,PO-001024,XPO Logistics,Rail,7.72,2026-07-08,2026-07-17,Delivered,Mexico,Boston Flagship
LOG-001025,PO-001025,UPS Supply Chain,Truck,7.57,2026-09-28,2026-10-06,Delivered,Mexico,Boston Flagship
LOG-001026,PO-001026,UPS Supply Chain,Truck,9.44,2026-12-05,2026-12-07,Delivered,Mexico,Boston Flagship
LOG-001027,PO-001027,J.B. Hunt,Truck,3.29,2024-11-02,2024-11-05,Delivered,USA,Boston Flagship
LOG-001028,PO-001028,Ryder,Sea,3.97,2025-02-28,2025-02-28,Delivered,USA,Boston Flagship
LOG-001029,PO-001029,Ryder,Truck,1.9,2025-04-12,2025-04-12,Delivered,USA,Boston Flagship
LOG-001030,PO-001030,FedEx Freight,Truck,5.61,2025-04-25,2025-04-25,Delivered,USA,Boston Flagship
LOG-001031,PO-001031,Ryder,Air,3.82,2025-06-10,2025-06-13,Delivered,USA,Boston Flagship
LOG-001032,PO-001032,UPS Supply Chain,Truck,4.86,2025-07-04,2025-07-06,Delivered,USA,Boston Flagship
LOG-001033,PO-001033,UPS Supply Chain,Truck,6.92,2025-09-01,2025-09-01,Delivered,USA,Boston Flagship
LOG-001034,PO-001034,Ryder,Truck,3.22,2025-10-20,2025-10-20,Delivered,USA,Boston Flagship
LOG-001035,PO-001035,UPS Supply Chain,Truck,7.75,2025-11-30,2025-11-30,Delivered,USA,Boston Flagship
LOG-001036,PO-001036,Echo Global,Truck,7.37,2025-12-22,2025-12-22,Delivered,USA,Boston Flagship
LOG-001037,PO-001037,J.B. Hunt,Truck,5.0,2026-03-05,2026-03-05,Delivered,USA,Boston Flagship
LOG-001038,PO-001038,FedEx Freight,Rail,3.58,2026-04-19,2026-04-19,Delivered,USA,Boston Flagship
LOG-001039,PO-001039,J.B. Hunt,Truck,9.69,2026-06-04,2026-06-03,Delivered,USA,Boston Flagship
LOG-001040,PO-001040,FedEx Freight,Truck,7.25,2026-08-02,2026-08-02,Delivered,USA,Boston Flagship
LOG-001041,PO-001041,FedEx Freight,Truck,5.98,2026-10-24,2026-10-24,Delivered,USA,Boston Flagship
LOG-001042,PO-001042,Ryder,Rail,9.11,2026-12-07,2026-12-11,Delivered,USA,Boston Flagship
LOG-001043,PO-001043,Echo Global,Truck,9.34,2026-12-17,2026-12-17,Delivered,USA,Boston Flagship
LOG-001044,PO-001044,Echo Global,Sea,9.61,2026-12-31,2026-12-31,Delivered,USA,Boston Flagship
LOG-001045,PO-001045,Ryder,Sea,5.41,2025-01-01,2025-01-01,Delivered,USA,Boston Flagship
LOG-001046,PO-001046,FedEx Freight,Rail,2.17,2025-01-29,2025-01-29,Delivered,USA,Boston Flagship
LOG-001047,PO-001047,UPS Supply Chain,Truck,5.81,2025-03-01,2025-02-28,Delivered,USA,Boston Flagship
LOG-001048,PO-001048,XPO Logistics,Rail,3.3,2025-05-14,2025-05-14,Delivered,USA,Boston Flagship
LOG-001049,PO-001049,UPS Supply Chain,Sea,2.33,2025-07-21,2025-07-21,Delivered,USA,Boston Flagship
LOG-001050,PO-001050,UPS Supply Chain,Truck,6.84,2025-10-19,2025-10-19,Delivered,USA,Boston Flagship
LOG-001051,PO-001051,XPO Logistics,Rail,2.75,2026-01-05,2026-01-05,Delivered,USA,Boston Flagship
LOG-001052,PO-001052,FedEx Freight,Truck,5.19,2026-02-05,2026-02-05,Delivered,USA,Boston Flagship
LOG-001053,PO-001053,J.B. Hunt,Rail,3.72,2026-03-30,2026-03-28,Delivered,USA,Boston Flagship
LOG-001054,PO-001054,J.B. Hunt,Truck,3.79,2026-05-31,2026-05-31,Delivered,USA,Boston Flagship
LOG-001055,PO-001055,XPO Logistics,Rail,5.98,2026-09-07,2026-09-05,Delivered,USA,Boston Flagship
LOG-001056,PO-001056,UPS Supply Chain,Sea,1.92,2024-10-18,2024-10-17,Delivered,USA,Boston Flagship
LOG-001057,PO-001057,Ryder,Truck,3.11,2024-11-24,2024-11-24,Delivered,USA,Boston Flagship
LOG-001058,PO-001058,Ryder,Sea,2.8,2024-12-13,2024-12-17,Delivered,USA,Boston Flagship
LOG-001059,PO-001059,Ryder,Truck,3.11,2025-01-19,2025-01-19,Delivered,USA,Boston Flagship
LOG-001060,PO-001060,Echo Global,Truck,3.51,2025-02-13,2025-02-18,Delivered,USA,Boston Flagship
LOG-001061,PO-001061,Echo Global,Truck,2.49,2025-05-03,2025-05-03,Delivered,USA,Boston Flagship
LOG-001062,PO-001062,J.B. Hunt,Sea,3.61,2025-05-09,2025-05-09,Delivered,USA,Boston Flagship
LOG-001063,PO-001063,Echo Global,Truck,2.6,2025-06-16,2025-06-16,Delivered,USA,Boston Flagship
LOG-001064,PO-001064,FedEx Freight,Sea,4.41,2025-07-14,2025-07-14,Delivered,USA,Boston Flagship
LOG-001065,PO-001065,XPO Logistics,Air,4.41,2025-08-23,2025-08-23,Delivered,USA,Boston Flagship
LOG-001066,PO-001066,Echo Global,Truck,5.48,2025-11-24,2025-11-24,Delivered,USA,Boston Flagship
LOG-001067,PO-001067,Echo Global,Rail,5.99,2025-12-21,2025-12-19,Delivered,USA,Boston Flagship
LOG-001068,PO-001068,UPS Supply Chain,Truck,3.62,2026-01-06,2026-01-06,Delivered,USA,Boston Flagship
LOG-001069,PO-001069,UPS Supply Chain,Air,5.02,2026-02-04,2026-02-04,Delivered,USA,Boston Flagship
LOG-001070,PO-001070,Ryder,Truck,4.85,2026-03-05,2026-03-08,Delivered,USA,Boston Flagship
LOG-001071,PO-001071,Ryder,Truck,5.72,2026-05-17,2026-05-17,Delivered,USA,Boston Flagship
LOG-001072,PO-001072,Echo Global,Sea,3.9,2026-06-04,2026-06-03,Delivered,USA,Boston Flagship
LOG-001073,PO-001073,Ryder,Air,7.07,2026-08-04,2026-08-04,Delivered,USA,Boston Flagship
LOG-001074,PO-001074,UPS Supply Chain,Truck,6.98,2026-09-30,2026-09-28,Delivered,USA,Boston Flagship
LOG-001075,PO-001075,J.B. Hunt,Rail,3.12,2026-10-16,2026-10-16,Delivered,USA,Boston Flagship
LOG-001076,PO-001076,Ryder,Truck,8.09,2026-11-07,2026-11-07,Delivered,USA,Boston Flagship
LOG-001077,PO-001077,XPO Logistics,Truck,7.43,2026-12-01,2026-12-01,Delivered,USA,Boston Flagship
LOG-001078,PO-001078,Echo Global,Air,2.14,2024-11-06,2024-11-06,Delivered,USA,Boston Flagship
LOG-001079,PO-001079,XPO Logistics,Truck,4.71,2024-12-13,2024-12-13,Delivered,USA,Boston Flagship
LOG-001080,PO-001080,Echo Global,Truck,2.6,2025-02-11,2025-02-11,Delivered,USA,Boston Flagship
LOG-001081,PO-001081,UPS Supply Chain,Truck,1.95,2025-04-29,2025-04-29,Delivered,USA,Boston Flagship
LOG-001082,PO-001082,UPS Supply Chain,Air,4.98,2025-08-21,2025-08-21,Delivered,USA,Boston Flagship
LOG-001083,PO-001083,J.B. Hunt,Truck,3.55,2025-11-18,2025-11-18,Delivered,USA,Boston Flagship
LOG-001084,PO-001084,UPS Supply Chain,Truck,2.72,2026-01-08,2026-01-08,Delivered,USA,Boston Flagship
LOG-001085,PO-001085,Ryder,Truck,3.19,2026-02-08,2026-02-08,Delivered,USA,Boston Flagship
LOG-001086,PO-001086,Echo Global,Sea,4.46,2026-04-21,2026-04-23,Delivered,USA,Boston Flagship
LOG-001087,PO-001087,XPO Logistics,Truck,4.25,2026-05-27,2026-06-01,Delivered,USA,Boston Flagship
LOG-001088,PO-001088,Echo Global,Truck,4.89,2026-09-03,2026-09-03,Delivered,USA,Boston Flagship
LOG-001089,PO-001089,UPS Supply Chain,Truck,2.64,2026-12-31,2026-12-31,Delivered,USA,Boston Flagship
LOG-001090,PO-001090,FedEx Freight,Rail,9.5,2024-11-28,2024-11-28,Delivered,China,Boston Flagship
LOG-001091,PO-001091,J.B. Hunt,Truck,14.89,2025-01-14,2025-01-29,Delivered,China,Boston Flagship
LOG-001092,PO-001092,UPS Supply Chain,Rail,12.68,2025-03-15,2025-03-23,Delivered,China,Boston Flagship
LOG-001093,PO-001093,XPO Logistics,Truck,13.85,2025-05-29,2025-06-11,Delivered,China,Boston Flagship
LOG-001094,PO-001094,Ryder,Truck,13.85,2025-09-13,2025-09-18,Delivered,China,Boston Flagship
LOG-001095,PO-001095,UPS Supply Chain,Rail,13.19,2025-11-20,2025-11-20,Delivered,China,Boston Flagship
LOG-001096,PO-001096,UPS Supply Chain,Truck,10.93,2026-02-25,2026-02-25,Delivered,China,Boston Flagship
LOG-001097,PO-001097,Ryder,Air,7.38,2026-04-03,2026-04-03,Delivered,China,Boston Flagship
LOG-001098,PO-001098,J.B. Hunt,Truck,17.02,2026-08-01,2026-08-01,Delivered,China,Boston Flagship
LOG-001099,PO-001099,UPS Supply Chain,Air,8.46,2026-12-15,2026-12-15,Delivered,China,Boston Flagship
LOG-001100,PO-001100,FedEx Freight,Truck,11.96,2026-12-31,2026-12-31,Delivered,China,Boston Flagship
LOG-001101,PO-001101,Echo Global,Rail,8.08,2025-03-15,2025-03-15,Delivered,USA,Boston Flagship
LOG-001102,PO-001102,Echo Global,Truck,10.33,2025-04-26,2025-04-26,Delivered,USA,Boston Flagship
LOG-001103,PO-001103,UPS Supply Chain,Truck,3.42,2025-06-02,2025-06-02,Delivered,USA,Boston Flagship
LOG-001104,PO-001104,XPO Logistics,Rail,7.3,2025-07-12,2025-07-12,Delivered,USA,Boston Flagship
LOG-001105,PO-001105,J.B. Hunt,Air,4.85,2025-08-05,2025-08-12,Delivered,USA,Boston Flagship
LOG-001106,PO-001106,Ryder,Air,7.8,2025-09-19,2025-09-17,Delivered,USA,Boston Flagship
LOG-001107,PO-001107,FedEx Freight,Truck,5.25,2025-09-20,2025-09-23,Delivered,USA,Boston Flagship
LOG-001108,PO-001108,UPS Supply Chain,Air,5.0,2025-10-29,2025-10-29,Delivered,USA,Boston Flagship
LOG-001109,PO-001109,FedEx Freight,Air,9.9,2025-12-29,2025-12-29,Delivered,USA,Boston Flagship
LOG-001110,PO-001110,FedEx Freight,Sea,5.05,2026-01-17,2026-01-17,Delivered,USA,Boston Flagship
LOG-001111,PO-001111,J.B. Hunt,Truck,7.13,2026-05-25,2026-05-28,Delivered,USA,Boston Flagship
LOG-001112,PO-001112,Echo Global,Rail,6.91,2026-06-21,2026-06-21,Delivered,USA,Boston Flagship
LOG-001113,PO-001113,J.B. Hunt,Truck,3.67,2026-06-28,2026-06-28,Delivered,USA,Boston Flagship
LOG-001114,PO-001114,UPS Supply Chain,Truck,6.87,2026-08-11,2026-08-11,Delivered,USA,Boston Flagship
LOG-001115,PO-001115,Echo Global,Truck,6.63,2026-12-31,2026-12-31,Delivered,USA,Boston Flagship
LOG-001116,PO-001116,FedEx Freight,Sea,6.15,2025-01-22,2025-01-20,Delivered,USA,Boston Flagship
LOG-001117,PO-001117,UPS Supply Chain,Truck,8.94,2025-02-05,2025-02-05,Delivered,USA,Boston Flagship
LOG-001118,PO-001118,FedEx Freight,Air,4.46,2025-03-20,2025-03-20,Delivered,USA,Boston Flagship
LOG-001119,PO-001119,J.B. Hunt,Truck,6.5,2025-03-30,2025-04-03,Delivered,USA,Boston Flagship
LOG-001120,PO-001120,XPO Logistics,Rail,4.89,2025-04-17,2025-04-17,Delivered,USA,Boston Flagship
LOG-001121,PO-001121,FedEx Freight,Truck,4.66,2025-04-29,2025-04-29,Delivered,USA,Boston Flagship
LOG-001122,PO-001122,Ryder,Truck,11.38,2025-05-15,2025-05-15,Delivered,USA,Boston Flagship
LOG-001123,PO-001123,FedEx Freight,Truck,9.23,2025-07-08,2025-07-08,Delivered,USA,Boston Flagship
LOG-001124,PO-001124,J.B. Hunt,Sea,8.07,2025-07-27,2025-07-27,Delivered,USA,Boston Flagship
LOG-001125,PO-001125,Echo Global,Truck,4.51,2025-08-11,2025-08-11,Delivered,USA,Boston Flagship
LOG-001126,PO-001126,Echo Global,Truck,12.86,2025-09-11,2025-09-11,Delivered,USA,Boston Flagship
LOG-001127,PO-001127,FedEx Freight,Truck,8.52,2025-10-03,2025-10-03,Delivered,USA,Boston Flagship
LOG-001128,PO-001128,Ryder,Truck,11.33,2025-10-24,2025-10-28,Delivered,USA,Boston Flagship
LOG-001129,PO-001129,Ryder,Rail,9.15,2025-12-18,2025-12-18,Delivered,USA,Boston Flagship
LOG-001130,PO-001130,UPS Supply Chain,Sea,14.62,2026-01-06,2026-01-06,Delivered,USA,Boston Flagship
LOG-001131,PO-001131,J.B. Hunt,Rail,11.25,2026-03-02,2026-03-07,Delivered,USA,Boston Flagship
LOG-001132,PO-001132,Echo Global,Truck,10.37,2026-04-02,2026-04-02,Delivered,USA,Boston Flagship
LOG-001133,PO-001133,Echo Global,Air,9.55,2026-05-12,2026-05-12,Delivered,USA,Boston Flagship
LOG-001134,PO-001134,J.B. Hunt,Truck,14.95,2026-06-03,2026-06-02,Delivered,USA,Boston Flagship
LOG-001135,PO-001135,FedEx Freight,Truck,17.02,2026-07-30,2026-07-30,Delivered,USA,Boston Flagship
LOG-001136,PO-001136,Echo Global,Sea,12.69,2026-08-19,2026-08-19,Delivered,USA,Boston Flagship
LOG-001137,PO-001137,J.B. Hunt,Air,21.65,2026-09-13,2026-09-13,Delivered,USA,Boston Flagship
LOG-001138,PO-001138,UPS Supply Chain,Truck,16.66,2026-10-11,2026-10-11,Delivered,USA,Boston Flagship
LOG-001139,PO-001139,Echo Global,Truck,18.08,2026-11-29,2026-11-29,Delivered,USA,Boston Flagship
LOG-001140,PO-001140,UPS Supply Chain,Truck,3.32,2024-11-10,2024-11-10,Delivered,Canada,Boston Flagship
LOG-001141,PO-001141,Echo Global,Truck,3.55,2025-06-27,2025-06-29,Delivered,Canada,Boston Flagship
LOG-001142,PO-001142,Echo Global,Truck,2.63,2025-07-17,2025-07-17,Delivered,Canada,Boston Flagship
LOG-001143,PO-001143,FedEx Freight,Rail,3.84,2025-12-02,2025-12-02,Delivered,Canada,Boston Flagship
LOG-001144,PO-001144,XPO Logistics,Truck,4.54,2026-03-22,2026-03-31,Delivered,Canada,Boston Flagship
LOG-001145,PO-001145,FedEx Freight,Truck,3.84,2026-09-24,2026-09-24,Delivered,Canada,Boston Flagship
LOG-001146,PO-001146,J.B. Hunt,Air,5.72,2025-01-05,2025-01-05,Delivered,USA,Boston Flagship
LOG-001147,PO-001147,FedEx Freight,Rail,3.57,2025-02-19,2025-02-19,Delivered,USA,Boston Flagship
LOG-001148,PO-001148,FedEx Freight,Truck,4.59,2025-05-18,2025-05-18,Delivered,USA,Boston Flagship
LOG-001149,PO-001149,J.B. Hunt,Air,9.47,2025-07-13,2025-07-13,Delivered,USA,Boston Flagship
LOG-001150,PO-001150,Ryder,Truck,6.02,2025-10-21,2025-10-21,Delivered,USA,Boston Flagship
LOG-001151,PO-001151,UPS Supply Chain,Sea,12.74,2026-03-15,2026-03-19,Delivered,USA,Boston Flagship
LOG-001152,PO-001152,UPS Supply Chain,Truck,6.37,2026-06-07,2026-06-07,Delivered,USA,Boston Flagship
LOG-001153,PO-001153,UPS Supply Chain,Sea,12.45,2026-07-24,2026-07-24,Delivered,USA,Boston Flagship
LOG-001154,PO-001154,J.B. Hunt,Truck,17.16,2026-08-22,2026-08-22,Delivered,USA,Boston Flagship
LOG-001155,PO-001155,J.B. Hunt,Truck,15.65,2026-09-30,2026-10-04,Delivered,USA,Boston Flagship
LOG-001156,PO-001156,UPS Supply Chain,Sea,14.73,2026-11-10,2026-11-13,Delivered,USA,Boston Flagship
LOG-001157,PO-001157,FedEx Freight,Truck,6.87,2025-06-26,2025-06-26,Delivered,China,Boston Flagship
LOG-001158,PO-001158,FedEx Freight,Air,11.17,2025-07-27,2025-07-27,Delivered,China,Boston Flagship
LOG-001159,PO-001159,FedEx Freight,Truck,9.82,2025-10-16,2025-11-02,Delivered,China,Boston Flagship
LOG-001160,PO-001160,UPS Supply Chain,Truck,7.57,2025-12-29,2025-12-29,Delivered,China,Boston Flagship
LOG-001161,PO-001161,UPS Supply Chain,Air,4.81,2026-07-13,2026-07-13,Delivered,China,Boston Flagship
LOG-001162,PO-001162,J.B. Hunt,Truck,11.63,2026-10-09,2026-10-09,Delivered,China,Boston Flagship
LOG-001163,PO-001163,XPO Logistics,Truck,7.04,2024-12-12,2024-12-12,Delivered,Canada,Boston Flagship
LOG-001164,PO-001164,J.B. Hunt,Truck,12.86,2025-04-07,2025-04-06,Delivered,Canada,Boston Flagship
LOG-001165,PO-001165,UPS Supply Chain,Truck,4.26,2025-06-01,2025-06-01,Delivered,Canada,Boston Flagship
LOG-001166,PO-001166,Ryder,Truck,8.54,2025-07-30,2025-07-30,Delivered,Canada,Boston Flagship
LOG-001167,PO-001167,XPO Logistics,Truck,4.49,2025-12-03,2025-12-03,Delivered,Canada,Boston Flagship
LOG-001168,PO-001168,Ryder,Air,3.56,2026-01-14,2026-01-23,Delivered,Canada,Boston Flagship
LOG-001169,PO-001169,Echo Global,Truck,11.72,2026-04-02,2026-04-02,Delivered,Canada,Boston Flagship
LOG-001170,PO-001170,XPO Logistics,Sea,7.92,2026-06-13,2026-06-18,Delivered,Canada,Boston Flagship
LOG-001171,PO-001171,Ryder,Truck,8.69,2026-07-11,2026-07-13,Delivered,Canada,Boston Flagship
LOG-001172,PO-001172,FedEx Freight,Truck,11.97,2026-12-14,2026-12-14,Delivered,Canada,Boston Flagship
LOG-001173,PO-001173,J.B. Hunt,Truck,2.89,2024-10-19,2024-10-19,Delivered,Canada,Boston Flagship
LOG-001174,PO-001174,Ryder,Truck,1.62,2024-10-21,2024-10-28,Delivered,Canada,Boston Flagship
LOG-001175,PO-001175,UPS Supply Chain,Sea,2.66,2025-05-16,2025-05-18,Delivered,Canada,Boston Flagship
LOG-001176,PO-001176,Ryder,Truck,2.11,2025-07-22,2025-07-22,Delivered,Canada,Boston Flagship
LOG-001177,PO-001177,XPO Logistics,Sea,2.55,2025-09-07,2025-09-07,Delivered,Canada,Boston Flagship
LOG-001178,PO-001178,FedEx Freight,Truck,2.31,2025-10-06,2025-10-06,Delivered,Canada,Boston Flagship
LOG-001179,PO-001179,J.B. Hunt,Truck,1.97,2025-11-19,2025-11-19,Delivered,Canada,Boston Flagship
LOG-001180,PO-001180,J.B. Hunt,Air,3.35,2026-01-12,2026-01-12,Delivered,Canada,Boston Flagship
LOG-001181,PO-001181,Echo Global,Truck,3.2,2026-03-03,2026-03-03,Delivered,Canada,Boston Flagship
LOG-001182,PO-001182,Echo Global,Truck,4.27,2026-05-11,2026-05-11,Delivered,Canada,Boston Flagship
LOG-001183,PO-001183,XPO Logistics,Rail,1.7,2026-07-28,2026-07-28,Delivered,Canada,Boston Flagship
LOG-001184,PO-001184,FedEx Freight,Sea,3.4,2026-08-07,2026-08-07,Delivered,Canada,Boston Flagship
LOG-001185,PO-001185,J.B. Hunt,Air,3.78,2026-08-29,2026-08-29,Delivered,Canada,Boston Flagship
LOG-001186,PO-001186,J.B. Hunt,Rail,4.03,2026-01-02,2026-01-02,Delivered,USA,Boston Flagship
LOG-001187,PO-001187,UPS Supply Chain,Sea,8.6,2026-07-27,2026-07-27,Delivered,USA,Boston Flagship
LOG-001188,PO-001188,XPO Logistics,Rail,1.39,2025-12-16,2025-12-16,Delivered,Canada,Boston Flagship
LOG-001189,PO-001189,J.B. Hunt,Truck,1.87,2026-04-14,2026-04-14,Delivered,Canada,Boston Flagship
LOG-001190,PO-001190,J.B. Hunt,Truck,2.11,2026-06-17,2026-06-17,Delivered,Canada,Boston Flagship
LOG-001191,PO-001191,XPO Logistics,Sea,1.93,2026-07-30,2026-07-30,Delivered,Canada,Boston Flagship
LOG-001192,PO-001192,J.B. Hunt,Air,1.83,2024-12-11,2024-12-11,Delivered,China,Boston Flagship
LOG-001193,PO-001193,J.B. Hunt,Truck,5.03,2025-01-22,2025-01-22,Delivered,China,Boston Flagship
LOG-001194,PO-001194,XPO Logistics,Air,2.44,2025-03-27,2025-04-10,Delivered,China,Boston Flagship
LOG-001195,PO-001195,UPS Supply Chain,Truck,2.36,2025-07-30,2025-08-19,Delivered,China,Boston Flagship
LOG-001196,PO-001196,XPO Logistics,Rail,1.65,2025-10-26,2025-10-26,Delivered,China,Boston Flagship
LOG-001197,PO-001197,Echo Global,Truck,3.23,2026-01-22,2026-02-08,Delivered,China,Boston Flagship
LOG-001198,PO-001198,XPO Logistics,Rail,1.39,2026-03-21,2026-04-02,Delivered,China,Boston Flagship
LOG-001199,PO-001199,Echo Global,Rail,1.21,2026-05-15,2026-05-18,Delivered,China,Boston Flagship
LOG-001200,PO-001200,J.B. Hunt,Truck,3.13,2026-07-15,2026-07-15,Delivered,China,Boston Flagship
LOG-001201,PO-001201,FedEx Freight,Air,1.85,2026-08-26,2026-08-26,Delivered,China,Boston Flagship
LOG-001202,PO-001202,UPS Supply Chain,Truck,3.12,2024-11-27,2024-11-27,Delivered,USA,Boston Flagship
LOG-001203,PO-001203,XPO Logistics,Truck,4.88,2024-12-07,2024-12-07,Delivered,USA,Boston Flagship
LOG-001204,PO-001204,UPS Supply Chain,Truck,2.86,2024-12-31,2024-12-31,Delivered,USA,Boston Flagship
LOG-001205,PO-001205,FedEx Freight,Rail,2.6,2025-03-14,2025-03-14,Delivered,USA,Boston Flagship
LOG-001206,PO-001206,Echo Global,Rail,3.52,2025-04-25,2025-04-25,Delivered,USA,Boston Flagship
LOG-001207,PO-001207,Echo Global,Air,2.9,2025-07-31,2025-07-31,Delivered,USA,Boston Flagship
LOG-001208,PO-001208,UPS Supply Chain,Rail,2.1,2025-08-20,2025-08-20,Delivered,USA,Boston Flagship
LOG-001209,PO-001209,XPO Logistics,Air,5.16,2025-12-01,2025-12-01,Delivered,USA,Boston Flagship
LOG-001210,PO-001210,UPS Supply Chain,Truck,4.02,2026-02-18,2026-02-18,Delivered,USA,Boston Flagship
LOG-001211,PO-001211,FedEx Freight,Sea,2.27,2026-05-23,2026-05-23,Delivered,USA,Boston Flagship
LOG-001212,PO-001212,Ryder,Rail,3.87,2026-07-01,2026-07-01,Delivered,USA,Boston Flagship
LOG-001213,PO-001213,Ryder,Truck,2.12,2026-08-20,2026-08-20,Delivered,USA,Boston Flagship
